gesture@evp1982m	@evp1982m	51.368	52.024	Разрубает обеими руками воздух перед собой на уровне живота
gesture@evp1982m	@evp1982m	57.653	58.813	Заводящий взмах левой рукой к себе с согнутыми пальцами на уровне живота, правая рука на колене
gesture@evp1982m	@evp1982m	60.306	61.267	Поправляет оба борта пиджака обеими руками
gesture@evp1982m	@evp1982m	165.761	166.614	Подимает левую руку и вращает кистью на уровне груди
gesture@evp1982m	@evp1982m	166.701	173.212	Разворачивает ладонь к верху и рубает воздух на уровне груди перед собой
gesture@evp1982m	@evp1982m	173.31	173.916	Разводит обеими руками в стороны на уровне живота
gesture@evp1982m	@evp1982m	173.943	175.343	Разводит обеими руками на уровне груди
gesture@evp1982m	@evp1982m	198.051	198.857	Разводит обеими руками по сторонам на уровне живота
gesture@evp1982m	@evp1982m	198.909	201.467	Разворачивая кисти пальцами к верху, вращает кистями на уровне головы
gesture@evp1982m	@evp1982m	229.359	229.561	Взмах к верху левой рукой на уровне груди
gesture@evp1982m	@evp1982m	229.575	230.516	Круговые движения кистью левой руки на уровне груди
gesture@evp1982m	@evp1982m	230.559	231.717	Движение левой рукой из стороны в сторону на уровне груди
gesture@evp1982m	@evp1982m	231.727	232.475	Разводит обе руки в стороны на уровне груди
gesture@evp1982m	@evp1982m	232.496	232.963	Сводит руки обратно, касаясь пальцами на уровне груди
gesture@evp1982m	@evp1982m	233.01	233.337	Разводит руки на уровне живота
gesture@evp1982m	@evp1982m	245.659	246.818	Приподнимая руки, производит вращательные движения указательными пальцами обеих ладоней на уровне груди
gesture@evp1982m	@evp1982m	246.863	247.815	Разводит обеими руками в стороны на уровне живота
gesture@evp1982m	@evp1982m	247.854	249.511	Сводит ладонями к себе, сжимая пальцы и указывая большими пальцами вверх на уровне груди
gesture@evp1982m	@evp1982m	249.56	250.215	Разводит обеими руками в стороны внутренней стороной ладоней к собеседнику на уровне груди
gesture@evp1982m	@evp1982m	250.255	252.11	Взмахи обеими кистями в воздухе на уровне груди
gesture@evp1982m	@evp1982m	252.604	255.563	Взмахивает в воздухе кистью левой руки на уровне груди, соединяя большой и безымянный пальцы
gesture@evp1982m	@evp1982m	255.602	258.06	Разводит руками в стороны несколько раз на уровне груди
gesture@evp1982m	@evp1982m	258.076	258.866	Вращает обеими кистями на уровне груди
gesture@evp1982m	@evp1982m	258.906	260.863	Кладет правую руку на колено, указывая левой на собеседника ладонью к верху
